FundingAgency,Classification
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,General Physics and Astronomy
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
UK Science and Technology Facilities Council,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
A.P. Sloan Foundation,Nuclear and High Energy Physics
Austrian Federal Ministry of Science,Nuclear and High Energy Physics
Consorzio per la Fisica,Nuclear and High Energy Physics
Desarrollo e Innovación and Programa Consolider-Ingenio 2010,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
EU-ESF,Nuclear and High Energy Physics
Helsinki Institute of Physics,Nuclear and High Energy Physics
Institute for Studies in Theoretical Physics and Mathematics,Nuclear and High Energy Physics
Mexican Funding Agencies,Nuclear and High Energy Physics
National Innovation Office,Nuclear and High Energy Physics
National Scientific Research Foundation,Nuclear and High Energy Physics
Republic of Korea,Nuclear and High Energy Physics
Sec-retaría de Estado de Investigación,Nuclear and High Energy Physics
State Fund for Fundamental Researches,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,General Physics and Astronomy
National Science Foundation,General Physics and Astronomy
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,General Physics and Astronomy
National Science Foundation,General Physics and Astronomy
National Science Foundation,Multidisciplinary
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Multidisciplinary
National Science Foundation,Multidisciplinary
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
National Science Foundation,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,General Physics and Astronomy
U.S. Department of Energy,General Energy
U.S. Department of Energy,Nuclear and High Energy Physics
U.S. Department of Energy,Physics and Astronomy (miscellaneous)
U.S. Department of Energy,Nuclear and High Energy Physics
