id,Classification
85047052854,Medicine (miscellaneous)
85122978976,Medicine (miscellaneous)
85127475912,Medicine (miscellaneous)
85127430170,Medicine (miscellaneous)
85074310161,Neurology (clinical)
85041748957,Nuclear and High Energy Physics
85045087730,Nuclear and High Energy Physics
85047664244,Nuclear and High Energy Physics
85040930764,Nuclear and High Energy Physics
85043390543,Nuclear and High Energy Physics
85043365002,Nuclear and High Energy Physics
85066999169,Nuclear and High Energy Physics
85072104933,Nuclear and High Energy Physics
85076606991,Nuclear and High Energy Physics
85072931567,Nuclear and High Energy Physics
85072850749,Nuclear and High Energy Physics
85063267754,Nuclear and High Energy Physics
85060754264,Nuclear and High Energy Physics
85065134466,Nuclear and High Energy Physics
85067362960,Nuclear and High Energy Physics
85070271666,Nuclear and High Energy Physics
85091477575,Nuclear and High Energy Physics
85089601116,Nuclear and High Energy Physics
85088646665,Nuclear and High Energy Physics
85079427365,Nuclear and High Energy Physics
85082850250,Nuclear and High Energy Physics
85118231834,Nuclear and High Energy Physics
85121572316,Nuclear and High Energy Physics
85108143707,Nuclear and High Energy Physics
85103407779,Nuclear and High Energy Physics
85104793091,Nuclear and High Energy Physics
85113198185,Nuclear and High Energy Physics
85051840032,Nuclear and High Energy Physics
85059477183,Nuclear and High Energy Physics
85054527535,Nuclear and High Energy Physics
85044100623,Nuclear and High Energy Physics
85048145068,Nuclear and High Energy Physics
85050383385,Nuclear and High Energy Physics
85050515744,Nuclear and High Energy Physics
85059814699,Nuclear and High Energy Physics
85139404939,Nuclear and High Energy Physics
85130323843,Nuclear and High Energy Physics
85132573375,Nuclear and High Energy Physics
85140827497,Nuclear and High Energy Physics
85167972224,Nuclear and High Energy Physics
85162773963,Nuclear and High Energy Physics
85166183738,Nuclear and High Energy Physics
85062726346,Renewable Energy
85111557523,Renewable Energy
85092765294,Renewable Energy
85105124678,Renewable Energy
85099403676,Renewable Energy
85135694636,Renewable Energy
85141737066,Renewable Energy
85059292352,Drug Discovery
85069648777,Drug Discovery
85072295445,Drug Discovery
85090814855,Drug Discovery
85116324952,Drug Discovery
85047164065,General Medicine
85058841080,General Medicine
85064203545,General Medicine
85072014235,General Medicine
85066434744,General Medicine
85147473439,General Medicine
85066787162,General Medicine
85068802771,General Medicine
85064212558,General Medicine
85094613812,General Medicine
85077785809,General Medicine
85143565809,General Medicine
85064453983,General Medicine
85068610221,General Medicine
85073741734,General Medicine
85096814832,General Medicine
85097609625,General Medicine
85096191714,General Medicine
85082484990,General Medicine
85081911834,General Medicine
85080931731,General Medicine
85097665321,General Medicine
85088028328,General Medicine
85115348501,General Medicine
85120495726,General Medicine
85115079568,General Medicine
85117425880,General Medicine
85120696092,General Medicine
85119381293,General Medicine
85118848310,General Medicine
85108330388,General Medicine
85106363377,General Medicine
85099899114,General Medicine
85108303430,General Medicine
85108064972,General Medicine
85111665342,General Medicine
85135193559,General Medicine
85049130033,General Medicine
85054184829,General Medicine
85077976956,General Medicine
85077593073,General Medicine
85052216681,General Medicine
85138459939,General Medicine
85126418456,General Medicine
85137773017,General Medicine
85140336433,General Medicine
85129701137,General Medicine
85124660000,General Medicine
85131457445,General Medicine
85128487609,General Medicine
85129997050,General Medicine
85151481552,General Medicine
85143486829,General Medicine
85166060899,General Medicine
85170194273,General Medicine
85148113786,General Medicine
85169295471,General Medicine
85148479342,General Medicine
85159061234,General Medicine
85042637153,Ecology
85153252557,Ecology
85130763669,Geology
85031933188,General Chemistry
85050595548,General Chemistry
85049401287,Ophthalmology
85069272962,Ophthalmology
85075915068,Ophthalmology
85074523430,Ophthalmology
85091787122,Ophthalmology
85067029849,Ophthalmology
85076450381,Ophthalmology
85102183224,Ophthalmology
85096649035,Ophthalmology
85048276261,Ophthalmology
85132178863,Ophthalmology
85124192713,Ophthalmology
85123756430,Ophthalmology
85150291598,Ophthalmology
85138749446,Ophthalmology
85050945318,Microbiology (medical)
85121057023,Infectious Diseases
85050919447,Infectious Diseases
85099357634,General Arts and Humanities
85108919768,General Arts and Humanities
85143456074,General Arts and Humanities
85137075809,General Arts and Humanities
85089600779,General Social Sciences
