Date,Count
2018-01-01,69
2018-01-02,2
2018-01-05,1
2018-01-10,1
2018-01-15,1
2018-01-24,1
2018-01-29,1
2018-02-01,10
2018-02-03,1
2018-02-07,1
2018-02-15,1
2018-02-20,1
2018-03-01,14
2018-03-02,1
2018-03-10,1
2018-03-12,1
2018-03-20,1
2018-03-23,1
2018-03-30,2
2018-04-01,11
2018-04-02,1
2018-04-04,1
2018-04-10,1
2018-04-15,1
2018-04-18,1
2018-04-24,1
2018-04-29,1
2018-05-01,9
2018-05-03,2
2018-05-10,2
2018-05-15,1
2018-05-23,1
2018-05-28,1
2018-06-01,15
2018-06-12,1
2018-06-15,2
2018-06-22,1
2018-06-25,1
2018-07-01,12
2018-07-02,1
2018-07-03,2
2018-07-10,1
2018-07-15,1
2018-07-20,1
2018-07-27,1
2018-07-31,1
2018-08-01,10
2018-08-03,1
2018-08-08,1
2018-08-09,1
2018-08-15,2
2018-08-21,1
2018-08-29,1
2018-09-01,13
2018-09-02,1
2018-09-03,1
2018-09-11,2
2018-09-17,1
2018-09-25,1
2018-10-01,12
2018-10-05,2
2018-10-15,2
2018-10-26,1
2018-11-01,12
2018-11-07,1
2018-11-09,1
2018-11-18,1
2018-11-28,1
2018-11-29,1
2018-12-01,18
2018-12-04,1
2018-12-06,1
2018-12-13,1
2018-12-14,1
2018-12-19,2
2018-12-31,1
2019-01-01,90
2019-01-07,1
2019-01-10,1
2019-01-14,1
2019-01-15,1
2019-01-16,1
2019-01-18,2
2019-01-22,1
2019-01-25,1
2019-02-01,10
2019-02-07,1
2019-02-11,1
2019-02-15,2
2019-02-20,1
2019-02-27,1
2019-03-01,14
2019-03-04,1
2019-03-12,1
2019-03-15,2
2019-03-25,1
2019-03-28,1
2019-04-01,11
2019-04-04,1
2019-04-05,1
2019-04-12,1
2019-04-15,1
2019-04-18,1
2019-04-29,1
2019-05-01,12
2019-05-10,1
2019-05-14,1
2019-05-15,1
2019-05-19,1
2019-05-28,1
2019-05-30,1
2019-06-01,11
2019-06-02,1
2019-06-11,1
2019-06-13,1
2019-06-17,1
2019-06-28,1
2019-07-01,13
2019-07-03,1
2019-07-05,1
2019-07-10,1
2019-07-20,1
2019-07-26,1
2019-08-01,10
2019-08-02,1
2019-08-10,1
2019-08-12,1
2019-08-18,1
2019-08-20,2
2019-08-27,1
2019-08-30,1
2019-09-01,10
2019-09-03,1
2019-09-06,1
2019-09-15,1
2019-09-16,1
2019-09-20,2
2019-09-30,1
2019-10-01,15
2019-10-08,1
2019-10-09,1
2019-10-15,2
2019-10-24,1
2019-10-28,1
2019-11-01,14
2019-11-07,1
2019-11-10,1
2019-11-15,1
2019-11-17,1
2019-11-30,2
2019-12-01,19
2019-12-02,1
2019-12-06,1
2019-12-09,2
2019-12-15,2
2019-12-16,2
2019-12-20,1
2019-12-30,1
2020-01-01,90
2020-01-02,2
2020-01-09,1
2020-01-14,1
2020-01-15,1
2020-01-21,1
2020-01-25,1
2020-02-01,11
2020-02-02,1
2020-02-07,1
2020-02-15,2
2020-02-21,1
2020-03-01,14
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-12,1
2020-03-14,1
2020-03-17,1
2020-03-23,1
2020-03-26,1
2020-04-01,13
2020-04-02,1
2020-04-06,2
2020-04-09,1
2020-04-13,1
2020-04-15,1
2020-04-23,1
2020-04-25,1
2020-05-01,12
2020-05-10,1
2020-05-13,1
2020-05-19,1
2020-05-20,1
2020-05-28,1
2020-06-01,17
2020-06-03,1
2020-06-05,1
2020-06-10,1
2020-06-15,1
2020-06-17,1
2020-06-30,1
2020-07-01,14
2020-07-02,2
2020-07-07,1
2020-07-14,1
2020-07-15,1
2020-07-17,1
2020-07-21,1
2020-07-31,2
2020-08-01,14
2020-08-07,1
2020-08-10,1
2020-08-17,1
2020-08-21,1
2020-09-01,18
2020-09-03,2
2020-09-13,1
2020-09-14,1
2020-09-18,1
2020-09-21,1
2020-09-25,1
2020-09-30,1
2020-10-01,14
2020-10-02,1
2020-10-08,1
2020-10-10,1
2020-10-15,1
2020-10-16,1
2020-10-20,1
2020-10-26,1
2020-10-28,1
2020-11-01,14
2020-11-04,1
2020-11-09,1
2020-11-10,1
2020-11-12,1
2020-11-20,1
2020-11-23,1
2020-11-27,1
2020-12-01,28
2020-12-02,1
2020-12-03,1
2020-12-11,1
2020-12-15,1
2020-12-22,2
2021-01-01,88
2021-01-02,1
2021-01-05,1
2021-01-08,1
2021-01-11,1
2021-01-15,3
2021-01-27,2
2021-02-01,14
2021-02-02,2
2021-02-09,1
2021-02-15,2
2021-02-25,2
2021-03-01,17
2021-03-02,1
2021-03-10,1
2021-03-11,1
2021-03-18,1
2021-03-19,1
2021-04-01,17
2021-04-02,1
2021-04-08,1
2021-04-10,1
2021-04-19,1
2021-04-21,1
2021-04-23,1
2021-04-26,1
2021-05-01,16
2021-05-05,1
2021-05-11,1
2021-05-15,1
2021-05-19,2
2021-05-20,1
2021-06-01,18
2021-06-04,1
2021-06-14,1
2021-06-15,1
2021-06-25,1
2021-06-27,1
2021-06-30,2
2021-07-01,16
2021-07-02,2
2021-07-09,1
2021-07-14,1
2021-07-20,1
2021-07-27,1
2021-08-01,17
2021-08-02,1
2021-08-10,1
2021-08-12,1
2021-08-24,1
2021-08-31,2
2021-09-01,20
2021-09-07,1
2021-09-10,1
2021-09-15,2
2021-09-20,1
2021-09-22,1
2021-10-01,20
2021-10-05,1
2021-10-15,1
2021-10-21,1
2021-10-28,1
2021-11-01,20
2021-11-04,1
2021-11-08,1
2021-11-15,1
2021-11-16,1
