lit_id,lit_name,k_id,k_name
85059470814,Multi-objective optimization of sorption enhanced steam biomass gasification with solid oxide fuel cell,co2capture,CO2 capture
85047622204,Conceptual design and life cycle assessment of decentralized power generation by HT-PEMFC system with sorption enhanced water gas shift loop,co2capture,CO2 capture
85140027804,Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,co2capture,CO2 capture
85059470814,Multi-objective optimization of sorption enhanced steam biomass gasification with solid oxide fuel cell,exergyanalysis,Exergy analysis
85151432782,"Succinic Acid Production from Glycerol by Actinobacillus succinogenes: Techno-economic, environmental, and exergy analyses",exergyanalysis,Exergy analysis
85145663694,A comprehensive and updated review on the exergy analysis of ground source heat pumps,exergyanalysis,Exergy analysis
85059470814,Multi-objective optimization of sorption enhanced steam biomass gasification with solid oxide fuel cell,multiobjectiveoptimization,Multi-objective optimization
85059470814,Multi-objective optimization of sorption enhanced steam biomass gasification with solid oxide fuel cell,sorptionenhancedsteambiomassgasification,Sorption enhanced steam biomass gasification
85059470814,Multi-objective optimization of sorption enhanced steam biomass gasification with solid oxide fuel cell,steamgasification,Steam gasification
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,colorimetricdetection,Colorimetric detection
85125589544,Selective colorimetric detection of Cr(VI) using starch-stabilized silver nanoparticles and application for chromium speciation,colorimetricdetection,Colorimetric detection
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,dnasensor,DNA sensor
85159407219,Electrochemical capillary-driven microfluidic DNA sensor for HIV-1 and HCV coinfection analysis,dnasensor,DNA sensor
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,enzymaticamplification,Enzymatic amplification
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,epoxidegroups,Epoxide groups
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,filterpaper,Filter paper
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,nonspecificadsorption,Non-specific adsorption
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,peptidenucleicacid,Peptide nucleic acid
85042510739,Poly(acrylic acid)-grafted magnetite nanoparticle conjugated with pyrrolidinyl peptide nucleic acid for specific adsorption with real DNA,peptidenucleicacid,Peptide nucleic acid
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,polymerbrushes,Polymer brushes
85055641538,Filter paper grafted with epoxide-based copolymer brushes for activation-free peptide nucleic acid conjugation and its application for colorimetric DNA detection,sandwichhybridization,Sandwich hybridization
85074903934,Transition factors to low carbon community - Engagement initiative for slum communities,communityengagement,Community engagement
85074903934,Transition factors to low carbon community - Engagement initiative for slum communities,greenhousegasemission,Greenhouse gas emission
85074903934,Transition factors to low carbon community - Engagement initiative for slum communities,lowcarboncommunity,Low carbon community
85074903934,Transition factors to low carbon community - Engagement initiative for slum communities,slumcommunity,Slum community
85074903934,Transition factors to low carbon community - Engagement initiative for slum communities,socialcapital,Social capital
85109269256,"Human astrovirus among patients with acute gastroenteritis in thailand, 2009-2017",hastvgenotype,HAstV genotype
85109269256,"Human astrovirus among patients with acute gastroenteritis in thailand, 2009-2017",humanastrovirus,Human astrovirus
85059807736,"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",biomasscascadeutilization,Biomass cascade utilization
85059807736,"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",chemicallooping,Chemical looping
85059807736,"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",co2reduction,CO2 reduction
85129306371,Atomic- and Molecular-Level Modulation of Dispersed Active Sites for Electrocatalytic CO2 Reduction,co2reduction,CO2 reduction
85059807736,"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",formicacid,Formic acid
85044037605,Improvement of product selectivity in bicarbonate reduction into formic acid on a tin-based catalyst by integrating nano-diamond particles,formicacid,Formic acid
85059807736,"Solar-Wind-Bio Ecosystem for Biomass Cascade Utilization with Multigeneration of Formic Acid, Hydrogen, and Graphene",windsolarbioenergysystem,Wind-solar-bio energy system
85061476553,Effectiveness of antimalarial interventions in Nigeria: Evidence from facility-level longitudinal data,differenceindifferences,difference-in-differences
85061476553,Effectiveness of antimalarial interventions in Nigeria: Evidence from facility-level longitudinal data,nigeria,Nigeria
85065071964,Synthesis and characterization of bimodal mesoporous silica derived from rice husk ash,bimodalmesoporoussilicabms,Bimodal mesoporous silica (BMS)
85065071964,Synthesis and characterization of bimodal mesoporous silica derived from rice husk ash,ricehuskash,Rice husk ash
85065071964,Synthesis and characterization of bimodal mesoporous silica derived from rice husk ash,ricehusksilicarhs,Rice husk silica (RHS)
85065071964,Synthesis and characterization of bimodal mesoporous silica derived from rice husk ash,unimodalmesoporoussilicaums,Unimodal mesoporous silica (UMS)
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",chemicalengineering,Chemical Engineering
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",demonstrations,Demonstrations
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",handsonlearning/manipulatives,Hands-On Learning/Manipulatives
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",industrialchemistry,Industrial Chemistry
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",kinetics,kinetics
85054189164,"Mechanical work, kinematics, and kinetics during sit-to-stand in children with and without spastic diplegic cerebral palsy",kinetics,kinetics
85084237653,Catalyst pellet design of WO3/Si-Al and hydrotalcite binder for propylene self-metathesis,kinetics,kinetics
85074499499,"The development of sit-to-stand in typically developing children aged 4 to 12 years: Movement time, trunk and lower extremity joint angles, and joint moments",kinetics,kinetics
85044627024,Photocatalytic activity of Nitrogen and Silica doping on TiO2 nanocatalyst and grafted onto PMMA film,kinetics,kinetics
85149926144,Shear strain rate sensitivity and crystallisation kinetics investigation in melt spun Cu64Zr36binary metallic glass,kinetics,kinetics
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",mechanismsofreactions,Mechanisms of Reactions
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",organicchemistry,Organic Chemistry
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",transportproperties,Transport Properties
85065706713,"Using the ""red Bottle"" Experiment for the Visualization and the Fast Characterization of Gas-Liquid Mass Transfer",upperdivisionundergraduate,Upper-Division Undergraduate
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,aldosterone,Aldosterone
85074411239,Aldosterone rapidly enhances levels of the striatin and caveolin-1 proteins in rat kidney: The role of the mineralocorticoid receptor,aldosterone,Aldosterone
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,gpr30,GPR30
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,immunohistochemistry,Immunohistochemistry
85060943807,"Alteration of androgen receptor expression, apoptosis and cell proliferation in cryptorchid suckling, nursery and growing-finishing pigs",immunohistochemistry,Immunohistochemistry
85081929690,EGFR cut-off point for prognostic impact in laryngeal squamous cell carcinoma,immunohistochemistry,Immunohistochemistry
85085663952,BRCA immunohistochemistry for screening of BRCA mutation in epithelial ovarian cancer patients,immunohistochemistry,Immunohistochemistry
85107865575,Medication-related osteonecrosis of the jaw: Osteoclast profile in comparison with osteoradionecrosis of the jaw and osteomyelitis of the jaw,immunohistochemistry,Immunohistochemistry
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,ppkcdelta,p-PKc delta
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,ppkcepsilon,p-PKc epsilon
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,proteinabundance,protein abundance
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,rapidaction,Rapid action
85074411239,Aldosterone rapidly enhances levels of the striatin and caveolin-1 proteins in rat kidney: The role of the mineralocorticoid receptor,rapidaction,Rapid action
85072144865,Aldosterone rapidly activates p-PKc delta and GPR30 but suppresses p-PKc epsilon protein levels in rat kidney,ratkidney,Rat kidney
85074411239,Aldosterone rapidly enhances levels of the striatin and caveolin-1 proteins in rat kidney: The role of the mineralocorticoid receptor,ratkidney,Rat kidney
85058432591,"Cortico-anorectal, Spino-anorectal, and Cortico-spinal Nerve Conduction and Locus of Neuronal Injury in Patients With Fecal Incontinence",anorectaldisease,Anorectal Disease
85058432591,"Cortico-anorectal, Spino-anorectal, and Cortico-spinal Nerve Conduction and Locus of Neuronal Injury in Patients With Fecal Incontinence",mechanism,Mechanism
85079787046,SPINAL DISPLACEMENT during THORACIC SPINAL MANIPULATIVE THERAPY,mechanism,Mechanism
85058432591,"Cortico-anorectal, Spino-anorectal, and Cortico-spinal Nerve Conduction and Locus of Neuronal Injury in Patients With Fecal Incontinence",neuromodulationtherapy,Neuromodulation Therapy
85058432591,"Cortico-anorectal, Spino-anorectal, and Cortico-spinal Nerve Conduction and Locus of Neuronal Injury in Patients With Fecal Incontinence",pathophysiology,Pathophysiology
85101899050,"The role of high-density lipoprotein cholesterol, apolipoprotein A and paraoxonase-1 in the pathophysiology of neuroprogressive disorders",pathophysiology,Pathophysiology
85163608403,Dysregulated Immune Response and Kidney Dysfunction,pathophysiology,Pathophysiology
85059661943,"Clinical manifestations, treatment outcomes, and prognostic factors of pediatric anti-NMDAR encephalitis in tertiary care hospitals: A multicenter retrospective/prospective cohort study",autoimmuneencephalitis,Autoimmune encephalitis
85059661943,"Clinical manifestations, treatment outcomes, and prognostic factors of pediatric anti-NMDAR encephalitis in tertiary care hospitals: A multicenter retrospective/prospective cohort study",nmdar,NMDAR
85059661943,"Clinical manifestations, treatment outcomes, and prognostic factors of pediatric anti-NMDAR encephalitis in tertiary care hospitals: A multicenter retrospective/prospective cohort study",pediatricencephalitis,Pediatric encephalitis
85062394550,"The effect of glucose, adenosine-5’-triphosphate, and adenosine on glucose transporter 9 expression in Madin-Darby Canine Kidney (MDCK) cells",expression,Expression
85062394550,"The effect of glucose, adenosine-5’-triphosphate, and adenosine on glucose transporter 9 expression in Madin-Darby Canine Kidney (MDCK) cells",glucosetransporter9,Glucose transporter 9
85062394550,"The effect of glucose, adenosine-5’-triphosphate, and adenosine on glucose transporter 9 expression in Madin-Darby Canine Kidney (MDCK) cells",purinergicsystem,Purinergic system
85062394550,"The effect of glucose, adenosine-5’-triphosphate, and adenosine on glucose transporter 9 expression in Madin-Darby Canine Kidney (MDCK) cells",slc2a9,SLC2A9
