LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount
84994797918,36,2,0
85011891254,74,8,4
85011915733,50,4,4
85014229510,15,2,0
85019624049,166,7,8
85020257587,12,3,2
85021094125,36,6,9
85021899740,38,4,0
85022066424,35,4,0
85022071002,51,7,8
85027562644,62,4,0
85028959204,47,4,1
85029818459,14,7,0
85030635652,30,8,2
85030846210,9,2,0
85030854232,44,2,1
85031400722,20,5,4
85031933188,79,3,2
85032225861,35,7,4
85032432882,38,4,2
85032691636,36,4,1
85032807137,24,1,0
85034037558,22,2,3
85034268326,36,7,2
85034991318,58,3,3
85035323661,26,6,0
85035335791,29,5,3
85036494583,35,5,2
85037812126,26,12,2
85037999060,35,8,3
85038010058,53,4,1
85038030583,44,6,3
85038874301,67,4,2
85039902334,38,10,4
85039984671,53,4,2
85040165654,151,7,3
85040185128,39,3,1
85040729005,31,5,0
85040784668,32,4,0
85040789682,20,5,1
85040930764,59,2252,98
85041319175,25,6,1
85041368622,97,4,0
85041419172,51,2,0
85041430693,6,7,5
85041462712,42,4,2
85041471953,66,2,1
85041494308,24,4,4
85041554101,40,5,2
85041619225,36,5,2
85041680827,59,9,4
85041721735,39,9,1
85041727486,22,5,4
85041748957,79,2252,94
85041892617,38,4,1
85042090660,39,1,5
85042129406,33,3,2
85042220255,50,4,6
85042348978,41,4,0
85042373126,42,3,1
85042384000,17,7,2
85042462678,41,10,3
85042510739,44,7,4
85042535275,5,1,0
85042563347,38,4,5
85042617226,22,2,0
85042637153,31,2,3
85042857262,27,8,2
85042943989,41,19,8
85042944700,26,3,2
85043365002,85,2247,31
85043378750,66,4,1
85043390543,96,2227,3
85043451547,3,4,0
85043456930,34,6,2
85043486756,79,7,1
85043522994,20,14,7
85043687256,128,10,5
85044037605,46,6,1
85044100623,78,2233,115
85044255505,34,4,5
85044304285,29,3,7
85044478927,27,3,2
85044480962,13,2,3
85044504794,34,9,4
85044527605,21,2,1
85044545374,351,7,0
85044627024,47,5,3
85044734677,0,4,0
85044946324,35,4,1
85045020611,43,2221,76
85045025830,200,8,0
85045052617,8,2,0
85045087730,97,2247,101
85045257168,58,2,1
85045383833,101,2255,97
85045616242,31,5,4
85045713038,63,8,2
85045843942,39,2,1
85045880156,30,5,1
85045899073,44,4,3
85046030343,33,9,3
85046078806,13,5,2
85046086656,10,2,0
85046104168,11,4,3
85046266177,11,3,0
85046349671,24,7,1
85046443732,32,16,4
85046473436,31,4,0
85046649627,22,4,3
85046707176,69,2,1
85046780756,40,4,3
85046790353,18,6,3
85046818191,44,8,0
85046997256,62,4,3
85047007592,32,4,8
85047052854,43,9,0
85047073581,31,5,4
85047113263,38,6,2
85047164065,32,4,2
85047194755,77,2,2
85047263996,16,5,0
85047273580,47,4,7
85047305790,38,4,1
85047314220,11,3,3
85047344776,10,2,2
85047400542,45,4,5
85047436590,70,3,1
85047485244,98,6,0
85047618371,31,2,2
85047622204,38,6,2
85047664244,73,2229,96
85047813066,20,6,2
85047873668,47,7,2
85048145068,49,2230,117
85048269752,28,5,3
85048276261,25,8,2
85048296754,37,2249,1
85048422362,26,11,1
85048576552,53,3,10
85048749584,22,8,3
85048787335,12,1,1
85049030562,73,7,6
85049130033,18,2,1
85049153436,22,4,1
85049207535,37,4,6
85049248081,46,6,2
85049344025,0,2232,37
85049352978,50,8,5
85049401287,37,7,0
85049535270,23,8,1
85049593866,22,3,3
85049858984,70,4,5
85049875455,19,3,0
85049893142,53,6,2
85049964164,72,2,0
85050080433,10,2,0
85050089963,70,3,4
85050378999,9,2,0
85050383385,72,3,7
85050399858,47,6,1
85050515744,30,3,3
85050544337,29,5,5
85050595548,34,4,3
85050602712,5,3,2
85050754824,0,7,1
85050811010,40,4,2
85050919447,32,3,1
85050922078,22,3,2
85050945318,34,10,3
85050968237,34,4,3
85051263294,52,17,15
85051293469,22,2,0
85051416784,14,1,0
85051536573,34,7,2
85051541938,0,3,0
85051652467,58,7,1
85051672867,58,8,1
85051702133,49,6,1
85051794662,42,4,0
85051840032,76,2295,99
85052023711,25,2,0
85052216681,29,4,0
85052377391,44,6,2
85052488654,46,7,2
85052531825,24,7,1
85052541960,21,10,9
85052613451,0,38,0
85052645887,10,12,1
85052742626,80,3,1
85052754543,8,2,0
85052825627,74,22,0
85052837614,63,2283,75
85052968790,72,9,6
85053213055,17,7,0
85053284118,52,2295,75
85053292063,28,5,2
85053423390,26,4,3
