id,Organization,Country
60029346,UCI Medical Center,United States
60002194,University of Tennessee Health Science Center,United States
60000945,St. Louis University School of Medicine,United States
60102305,National Jewish Health,United States
60079887,VA San Diego Healthcare System,United States
60026952,"Mayo Clinic Scottsdale-Phoenix, Arizona",United States
60011951,Morsani College of Medicine,United States
60007997,Weill Cornell Medicine,United States
116061381,Norton Thoracic Institute,United States
60021630,Joint Base Langley-Eustis,United States
60015396,Wilford Hall Ambulatory Surgical Center,United States
60024728,Missouri University of Science and Technology,United States
60113202,Lindenwood University,United States
60007652,Old Dominion University,United States
100612215,"Associates of Cape Cod, Inc.",United States
60015615,Stanford Healthcare,United States
60030945,UNC Eshelman School of Pharmacy,United States
60003872,Joslin Diabetes Center,United States
60021568,University of Texas Medical School at Houston,United States
60011339,University of Texas Graduate School of Biomedical Sciences at Houston,United States
60028842,Schepens Eye Research Institute,United States
60020872,U.S. Department of State,United States
60017777,National Institute of Child Health and Human Development (NICHD),United States
109716592,Ngoc Nguyen Eye Clinic,United States
60000060,Lehigh University,United States
60014739,UT Southwestern Medical School,United States
60008714,Merck Animal Health,United States
60010265,University of Colorado at Colorado Springs,United States
60003892,Arizona State University,United States
60002913,Environmental Defense Fund,United States
60033290,Boise VA Medical Center,United States
60007200,Michigan Medicine,United States
60006337,NASA Goddard Space Flight Center,United States
60027093,"Noblis, Inc.",United States
60004876,J. Craig Venter Institute,United States
60015849,Tufts University School of Medicine,United States
112580778,Center for Bioenergy Innovation,United States
60020565,Children's Hospital Los Angeles,United States
60014334,Dana-Farber Cancer Institute,United States
105491225,"Aldevron, LLC",United States
107223445,COLORADO STATE UNIVERSITY,United States
60032291,US Naval Academy,United States
60023004,University of Delaware,United States
60013499,Ohio Agricultural Research and Development Center,United States
60010177,University of Florida Institute of Food and Agricultural Sciences,United States
100341022,Animal Disease Diagnostic Laboratory,United States
60016296,National Aeronautics and Space Administration,United States
60011779,NASA Marshall Space Flight Center,United States
60021334,University of Arizona College of Medicine – Tucson,United States
60001117,Johns Hopkins School of Medicine,United States
60029886,OFS Laboratories,United States
60010307,University of Colorado Denver,United States
128814150,Chulalongkorn University (CUSAR),United States
60032732,Taussig Cancer Center,United States
60027259,Erskine College,United States
60099032,Honeywell UOP,United States
60006221,Brookhaven National Laboratory,United States
60121547,Department of Medicine,United States
60082605,"Frontier Science &amp; Technology Research Foundation, Inc.",United States
60082111,"Social &amp; Scientific Systems, Inc.",United States
60002909,Gilead Sciences Incorporated,United States
60120610,Texas A&amp;M College of Veterinary Medicine &amp; Biomedical Sciences,United States
60005200,Duke University School of Medicine,United States
60001319,Missouri Botanical Garden,United States
60031437,Wake Forest University School of Medicine,United States
60030982,Duke Clinical Research Institute,United States
120842452,WellSpan Health,United States
123712636,NSF's National Optical-Infrared Astronomy Research Laboratory,United States
60024978,University of Utah School of Medicine,United States
60033061,Tufts University School of Dental Medicine,United States
60031146,Baptist Health South Florida,United States
60000811,Eastman Institute for Oral Health,United States
60274283,Satellite Healthcare,United States
60104946,Cornell University College of Engineering,United States
60009330,"Immunosciences Laboratories, Inc.",United States
128153143,Cyrex Labs LLC,United States
60000986,University of Massachusetts Chan Medical School,United States
60016733,Oregon Health &amp; Science University,United States
60015941,University of Kentucky,United States
60015521,Kaiser Permanente Center for Health Research,United States
100311889,Latter Day Saints Hospital,United States
60030443,Thayer School of Engineering at Dartmouth,United States
