,k.id
0,finiteelement
1,generalloading
2,numericalanalysis
3,planestrain
4,stripfooting
5,immune
6,inflammation
7,cytokines
8,ido
9,kynurenine
10,oxidativestress
11,schizophrenia
12,biomarker
13,groundwater
14,heavymetals
15,riskassessment
16,thailand
17,urine
18,hbconstantspring
19,hbpaksé
20,hemoglobinanalysis
21,hemoglobinopathy
22,irondeficiencyanemia
23,antimicrobialpeptides
24,humoralimmuneresponses
25,melanization
26,prophenoloxidasesystem
27,shrimpinnateimmunity
28,signaltransductionpathways
29,leak
30,rarefiedgas
31,slipflow
32,vacuum
33,electrospinning
34,garciniamangostana
35,polyacrylonitrile
36,gallbladdercancer
37,incidence
38,race
39,socioeconomicfactor
40,survival
41,adenosinetriphosphateatp
42,invitromineralization
43,osteogenicdifferentiation
44,stemcellsisolatedfromhumanexfoliateddeciduousteethsheds
45,diabetesmellitus
46,bloodglucose
47,bonemineraldensity
48,diabeticosteopathy
49,gotokakizakirats
50,grandiose
51,narcissism
52,persistence
53,vulnerable
54,cationaniondifference
55,dairygoat
56,milkproduction
57,tropicalconditions
58,waterbalance
59,electrospinning
60,nanoparticles
61,andnanocrystals
62,electrochemistry
63,fibers
64,nanowires
65,cyclodimerization
66,epichlorohydrin
67,mofs
68,oligomerization
69,temperatureprogramdesorptiontpd
70,zif
71,groupdeterminant
72,lehmersconjecture
73,recursiveformula
74,analyticalperformance
75,expressionsystems
76,singlechainvariablefragment
77,specificity
78,acetal
79,aldehyde
80,deprotection
81,diol
82,glycerol
83,hexabromoacetone
84,ketal
85,oxime
86,protection
87,solketal
88,biomassconversion
89,carbonbasedacidcatalyst
90,catalystsupport
91,hydrothermalcarbonization
92,sulfonation
93,hemocytehomeostasis
94,penaeusmonodon
95,pmvrp15
96,suppressionsubtractivehybridization
97,electrodeposition
98,photocorrosion
99,photodegradation
100,thermaloxidation
101,znothinfilm
102,buildingwastewatertreatment
103,hydraulicretentiontimehrt
104,insultatedanaerobicfilteriaf
105,temperature
106,wasteheatinput
107,albumen
108,duckegg
109,yolk
110,heavymetal
111,thailand
112,bacterialinoculant
113,biodegradation
