,l.id
0,84994797918
1,85011891254
2,85011915733
3,85014229510
4,85019624049
5,85020257587
6,85021094125
7,85021899740
8,85022066424
9,85022071002
10,85027562644
11,85028959204
12,85029818459
13,85030635652
14,85030846210
15,85031400722
16,85031933188
17,85032225861
18,85032432882
19,85032691636
20,85034037558
21,85034268326
22,85034991318
23,85035323661
24,85035335791
25,85036494583
26,85037812126
27,85037999060
28,85038010058
29,85038030583
30,85038874301
31,85039984671
32,85040784668
33,85040789682
34,85040930764
35,85041319175
36,85041368622
37,85041419172
38,85041462712
39,85041471953
40,85041494308
41,85041554101
42,85041619225
43,85041680827
44,85041727486
45,85041892617
46,85042348978
47,85042373126
48,85042510739
49,85042563347
50,85042637153
51,85042857262
52,85043378750
53,85043456930
54,85043486756
55,85043687256
56,85044037605
57,85044100623
58,85044255505
59,85044478927
60,85044504794
61,85044527605
62,85044545374
63,85044627024
64,85044946324
65,85045025830
66,85045087730
67,85045616242
68,85045713038
69,85045843942
70,85045880156
71,85046030343
72,85046078806
73,85046104168
74,85046349671
75,85046443732
76,85046473436
77,85046649627
78,85046780756
79,85046997256
80,85047007592
81,85047052854
82,85047113263
83,85047164065
84,85047263996
85,85047273580
86,85047305790
87,85047344776
88,85047400542
89,85047436590
90,85047485244
91,85047622204
92,85047664244
93,85048145068
94,85048269752
95,85048276261
96,85048422362
97,85049207535
98,85049401287
99,85049535270
100,85049593866
101,85049893142
102,85049964164
103,85050089963
104,85050399858
105,85050544337
106,85050602712
107,85050811010
108,85050919447
109,85050922078
110,85050945318
111,85050968237
112,85051536573
113,85051672867
114,85051702133
115,85051794662
116,85051840032
117,85052023711
118,85052216681
119,85052377391
120,85052488654
121,85052531825
122,85052541960
123,85052825627
124,85052968790
125,85053213055
126,85053423390
127,85053504686
128,85053818719
129,85054163150
130,85054184001
131,85054583665
132,85054590025
133,85054621002
134,85054632872
135,85054775945
136,85055093749
137,85055142822
138,85055172748
139,85055188449
140,85055312528
141,85055613453
142,85055641538
143,85055936299
144,85055988463
145,85056192806
146,85056200000
147,85056354694
148,85056400294
149,85056509328
150,85056590125
151,85056995413
152,85057150050
153,85057175872
154,85057550603
155,85057584822
156,85057835953
157,85058047556
158,85058232479
159,85058307261
160,85058381356
161,85058382112
162,85058384818
163,85058432591
164,85058717573
165,85058841080
166,85058983048
167,85059056868
168,85059194056
169,85059292352
170,85059470814
171,85059537789
172,85059661943
173,85059807736
174,85059814699
175,85060341545
176,85060754264
177,85060943807
178,85061034562
179,85061059269
180,85061243115
181,85061267681
182,85061294002
183,85061479711
184,85061626134
185,85062041913
186,85062349283
187,85062394550
188,85062527043
189,85062726346
190,85062870801
191,85063019957
192,85063037528
193,85063150094
194,85063267754
195,85063303409
196,85063326075
197,85063401120
198,85063432536
199,85063529752
200,85063576577
201,85063732788
202,85063776488
203,85063999587
204,85064121799
205,85064203545
206,85064249255
207,85064394304
208,85064523817
209,85064677022
210,85064847838
211,85064985698
212,85065071964
213,85065076191
214,85065082466
215,85065134466
216,85065219635
217,85065258830
218,85065417151
219,85065540486
220,85065557033
221,85065706713
222,85065720311
223,85065733961
224,85065861114
225,85065915318
226,85066078842
227,85066084611
228,85066235456
229,85066251209
230,85066336496
231,85066456544
232,85066832483
233,85066999169
234,85067005434
235,85067029849
236,85067048587
237,85067118904
238,85067236770
239,85067303409
240,85067362960
241,85067364793
242,85067441977
243,85067553955
244,85067669525
245,85067682383
246,85067887004
247,85067939815
248,85067998476
249,85068050759
250,85068163650
251,85068345041
252,85068367264
253,85068482297
254,85068485265
255,85068508173
256,85068610221
257,85068641277
258,85068780426
259,85068802771
260,85068835476
261,85068899454
262,85068982883
263,85069209605
264,85069219917
265,85069272962
266,85069328095
267,85069440912
268,85069445628
269,85069648777
270,85069683127
271,85069775657
272,85069776717
273,85069864372
274,85069889234
275,85069908392
276,85070730856
277,85070777695
278,85070887862
279,85070967460
280,85070975532
281,85071105530
282,85071198566
283,85071269811
284,85071276825
285,85071326066
286,85071354570
287,85071397754
288,85071743078
289,85071767741
290,85071785692
291,85071882735
292,85072014235
293,85072144865
294,85072175191
295,85072229317
296,85072268571
297,85072269018
298,85072656884
299,85072691758
300,85072737390
301,85072746800
302,85072791175
303,85072847644
304,85072850749
305,85072859242
306,85072996966
307,85073067791
308,85073089044
309,85073496257
310,85073507038
311,85073526056
312,85073529830
313,85073565672
314,85073735811
315,85073741734
316,85073817232
317,85073819211
318,85073822735
319,85073939495
320,85074031507
321,85074076384
322,85074097218
323,85074152331
324,85074310161
325,85074411239
326,85074523430
327,85074569518
328,85074703921
329,85074707394
330,85074749399
331,85074850336
332,85075032534
333,85075060368
334,85075248064
335,85075343986
336,85075517053
337,85075534099
338,85075586789
339,85075628194
340,85075807706
341,85075835717
342,85075915068
343,85075934812
344,85075947794
345,85076058139
346,85076249738
347,85076265509
348,85076345380
349,85076603666
350,85076606991
351,85076614689
352,85076792477
353,85077073854
354,85077216268
355,85077343946
356,85077429939
357,85077532487
358,85077646889
359,85077768603
360,85078001937
361,85078017746
362,85078018843
363,85078049766
364,85078089137
365,85078093381
366,85078120406
367,85078151356
368,85078248569
369,85078282226
370,85078495236
371,85078562034
372,85078860934
373,85078960433
374,85079119941
375,85079166274
376,85079188760
377,85079427365
378,85079598800
379,85079634751
380,85079716621
381,85079787046
382,85079798634
383,85080091737
384,85080101758
385,85080891429
386,85080922366
387,85080931364
388,85080932055
389,85081140448
390,85081210596
391,85081228270
392,85081282668
393,85081545491
394,85081640923
395,85081674187
396,85081746798
397,85081911834
398,85081929690
399,85081945901
400,85082065799
401,85082092383
402,85082420038
403,85082484990
404,85082717874
405,85082850250
406,85082968349
407,85083002300
408,85083071958
409,85083201464
410,85083296795
411,85083365374
412,85083482804
413,85083516048
414,85083523582
415,85083567787
416,85083581099
417,85083706044
418,85084142278
419,85084237653
420,85084347476
421,85084378872
422,85084385394
423,85084470210
424,85084503297
425,85084572571
426,85084665697
427,85084968659
428,85085009943
429,85085028810
430,85085086881
431,85085099908
432,85085123452
433,85085472212
434,85085563803
435,85085687411
436,85085760271
437,85085909187
438,85085994436
439,85086002186
440,85086016803
441,85086227209
442,85086586942
443,85086781984
444,85086886470
445,85086939613
446,85087022518
447,85087052540
448,85087140696
449,85087158889
450,85087423341
451,85087423982
452,85087468816
453,85087683837
454,85087739710
455,85087807101
456,85087843072
457,85087905890
458,85087907671
459,85087986407
460,85088028328
461,85088098750
462,85088146256
463,85088311090
464,85088512020
465,85088517758
466,85088646665
467,85088716103
468,85088809122
469,85088872690
470,85088879976
471,85089034384
472,85089034532
473,85089171436
474,85089274620
475,85089299766
476,85089310509
477,85089332826
478,85089430366
479,85089445740
480,85089506613
481,85089663974
482,85089859429
483,85089955954
484,85089963485
485,85089978022
486,85089988820
487,85090002106
488,85090123363
489,85090192658
490,85090209846
491,85090247564
492,85090258666
493,85090273111
494,85090282371
495,85090288353
496,85090408695
497,85090418357
498,85090559669
499,85090634635
500,85090668789
501,85090756339
502,85090786590
503,85090789309
504,85090814855
505,85090830351
506,85090991496
507,85091052772
508,85091211346
509,85091236535
510,85091312417
511,85091436264
512,85091802240
513,85091844509
514,85091855716
515,85092039739
516,85092073308
517,85092075687
518,85092117796
519,85092132807
520,85092234898
521,85092300522
522,85092331982
523,85092450077
524,85092524906
525,85092571976
526,85092615486
527,85092709391
528,85092714986
529,85092765294
530,85092904360
531,85093122730
532,85094101696
533,85094574793
534,85094613812
535,85095700852
536,85095798434
537,85095848278
538,85095865378
539,85095997383
540,85096115561
541,85096138332
542,85096191714
543,85096232908
544,85096339594
545,85096430770
546,85096432465
547,85096559454
548,85096583676
549,85096643146
550,85096649035
551,85096649930
552,85096670844
553,85096713258
554,85096797142
555,85096814832
556,85096828330
557,85096839555
558,85096865759
559,85097030068
560,85097278478
561,85097315678
562,85097319186
563,85097376594
564,85097388941
565,85097476622
566,85097507601
567,85097573029
568,85097598013
569,85097609625
570,85097665321
571,85097754956
572,85097759056
573,85097776096
574,85097893473
575,85098075483
576,85098240896
577,85098255482
578,85098332405
579,85098461867
580,85098470386
581,85098547497
582,85098798932
583,85098875840
584,85098995639
585,85099055227
586,85099152835
587,85099214806
588,85099403676
589,85099510728
590,85099568611
591,85099729412
592,85099738556
593,85099899114
594,85099969383
595,85100016526
596,85100056338
597,85100125815
598,85100384379
599,85100421844
600,85100501287
601,85100527344
602,85100826405
603,85101054469
604,85101101437
605,85101109890
606,85101229384
607,85101357105
608,85101459601
609,85101471600
610,85101594646
611,85101597870
612,85101743624
613,85101899050
614,85101922363
615,85102007457
616,85102270310
617,85102344838
618,85102422736
619,85102547261
620,85102622106
621,85102623563
622,85102773981
623,85102802570
624,85102806396
625,85102860113
626,85103068155
627,85103137055
628,85103140622
629,85103227507
